Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
1,DRX,kingen,TOP,2,0,4,7.2,213,7.6,10148,362,15,10692,382,0.21,0.429,-684,-26,-846,-1,16187
1,DRX,Pyosik,JUNGLE,6,1,3,9,225,8,12095,432,87,9072,324,0.32,0.643,884,-6,18,0,10070
1,DRX,SOLKA,MID,1,0,9,12,248,8.9,10716,383,34,13400,479,0.36,0.714,-519,-22,-590,0,11766
1,DRX,BAO,ADC,5,1,7,12,266,9.5,13036,466,25,19069,681,0.43,0.857,-2,-25,-1065,-1,10101
1,DRX,Becca,SUPPORT,0,4,13,3.3,28,1,6961,249,47,3410,122,0.46,0.929,188,-9,395,0,11282
0,HLE,DuDu,TOP,2,2,2,2,262,9.4,11391,407,21,13673,488,0.14,0.667,684,26,846,1,24122
0,HLE,Arthur,JUNGLE,2,3,0,0.7,150,5.4,8214,293,40,2879,103,0.07,0.333,-884,6,-18,0,23597
0,HLE,Chovy,MID,2,1,1,3,324,11.6,12800,457,33,11117,397,0.11,0.5,519,22,590,0,9368
0,HLE,Deft,ADC,0,1,1,1,274,9.8,10649,380,23,6523,233,0.04,0.167,2,25,1065,1,11993
0,HLE,Vsta,SUPPORT,0,7,2,0.3,47,1.7,6016,215,69,2838,101,0.07,0.333,-188,9,-395,0,14517
1,HLE,Morgan,TOP,1,2,9,5,239,7.2,11534,349,44,16084,486,0.3,0.435,-1535,-1,-750,-1,19582
1,HLE,Arthur,JUNGLE,7,1,9,16,204,6.2,13241,400,84,13898,420,0.48,0.696,1178,-18,-569,-1,30200
1,HLE,Chovy,MID,3,2,14,8.5,267,8.1,13204,399,51,17792,538,0.51,0.739,-256,3,300,1,15419
1,HLE,Deft,ADC,11,2,4,7.5,275,8.3,15857,480,28,14793,447,0.45,0.652,696,6,-78,0,18507
1,HLE,Vsta,SUPPORT,1,3,17,6,43,1.3,8284,251,97,4459,135,0.54,0.783,-349,2,-129,-1,18230
0,DRX,kingen,TOP,2,4,4,1.5,220,6.7,13409,406,20,25455,770,0.18,0.6,1535,1,750,1,22032
0,DRX,Pyosik,JUNGLE,1,5,2,0.6,230,7,10655,322,103,9123,276,0.09,0.3,-1178,18,569,1,28969
0,DRX,SOLKA,MID,3,4,2,1.3,274,8.3,11803,357,38,15440,467,0.15,0.5,256,-3,-300,-1,13129
0,DRX,BAO,ADC,2,3,3,1.7,257,7.8,11980,362,22,13237,400,0.15,0.5,-696,-6,78,0,13989
0,DRX,Becca,SUPPORT,2,7,3,0.7,48,1.5,7339,222,73,5410,164,0.15,0.5,349,-2,129,1,17042
